//<Version>ODV Spreadsheet V4.0</Version>
//<Creator>Simona@SIMONA-TOSH</Creator>
//<CreateTime>2014-05-29T01:20:43</CreateTime>
//<Software>Ocean Data View 4.5.3</Software>
//<Source>C:/MEDATLAS_LIGURE/Maps/DYOMEI1981.odv</Source>
//<SourceLastModified>2014-04-17T15:47:37</SourceLastModified>
//<DataField>GeneralField</DataField>
//<DataType>GeneralType</DataType>
//
Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	PRES [DECIBAR=10000 PASCALS]	TEMP [CELSIUS DEGREE]	PSAL [P.S.U.]
DYOME I	01010	C	1981-07-11	7.98000	43.04200	0	0.0000	21.6750	38.6270
							10.0000	18.9980	38.5490
							20.0000	18.1870	38.4710
							30.0000	15.6860	38.3120
							40.0000	13.7920	38.3070
							50.0000	13.3840	38.3750
							60.0000	13.1330	38.4020
							70.0000	13.1690	38.4450
							80.0000	13.1310	38.4540
							90.0000	13.1430	38.4760
							100.0000	13.1360	38.4850
							110.0000	13.1390	38.4950
							120.0000	13.1410	38.5010
							130.0000	13.1260	38.5020
							140.0000	13.1070	38.5010
							150.0000	13.0950	38.5020
							160.0000	13.0910	38.5030
							170.0000	13.0860	38.5050
							180.0000	13.0840	38.5050
							190.0000	13.0790	38.5050
							200.0000	13.0660	38.5030
							210.0000	13.0490	38.5000
							220.0000	13.0410	38.4990
							230.0000	13.0260	38.4960
							240.0000	13.0150	38.4940
							250.0000	13.0030	38.4910
							260.0000	12.9940	38.4900
							270.0000	12.9850	38.4880
							280.0000	12.9810	38.4880
							290.0000	12.9750	38.4850
							300.0000	12.9700	38.4850
							310.0000	12.9540	38.4810
							320.0000	12.9430	38.4780
							330.0000	12.9380	38.4780
							340.0000	12.9340	38.4760
							350.0000	12.9280	38.4760
							360.0000	12.9250	38.4730
							370.0000	12.9240	38.4730
							380.0000	12.9230	38.4730
							390.0000	12.9200	38.4720
							400.0000	12.9200	38.4720
							410.0000	12.9160	38.4710
							420.0000	12.9190	38.4720
							430.0000	12.9190	38.4720
							440.0000	12.9190	38.4720
							450.0000	12.9180	38.4720
							460.0000	12.9180	38.4710
							470.0000	12.9190	38.4710
							480.0000	12.9170	38.4710
							490.0000	12.9160	38.4700
							500.0000	12.9120	38.4690
							510.0000	12.9100	38.4690
							520.0000	12.9090	38.4680
							530.0000	12.9110	38.4680
							540.0000	12.9090	38.4670
							550.0000	12.9070	38.4670
							560.0000	12.9110	38.4690
							570.0000	12.9120	38.4680
							580.0000	12.9030	38.4650
							590.0000	12.9060	38.4660
							600.0000	12.9120	38.4680
							610.0000	12.9080	38.4670
							620.0000	12.9090	38.4670
							630.0000	12.9090	38.4650
							640.0000	12.9070	38.4660
							650.0000	12.9060	38.4650
							660.0000	12.9060	38.4650
							670.0000	12.9050	38.4650
							680.0000	12.9080	38.4650
							690.0000	12.9090	38.4650
							700.0000	12.9110	38.4660
							710.0000	12.9140	38.4670
							720.0000	12.9140	38.4660
							730.0000	12.9120	38.4660
							740.0000	12.9120	38.4640
							750.0000	12.9140	38.4640
							760.0000	12.9170	38.4650
							770.0000	12.9170	38.4660
							780.0000	12.9190	38.4650
							790.0000	12.9230	38.4660
							800.0000	12.9270	38.4670
							810.0000	12.9290	38.4680
							820.0000	12.9380	38.4700
